item_id,russian_description,english_description
50d9a9285822,"Продам чехлы в отличном состоянии на телефон Самсунг Note2 . Белый,черный,голубой. Цена за штуку.","Selling covers in excellent condition on the phone Samsung Note2. White, black, blue. Price for one."
50da18416c4f,"Продам жилет из песца, одела ровно 3 раза. Жилетку подарили, продаю потому что она мне маловата, у меня объём груди 95, она скорей до 90 см , одевала не застегивая) При осмотре возможен торг","Selling a vest of polar fox, dressed exactly 3 times. A waistcoat was presented, I sell because it is too small for me, I have 95 breasts, it is more than 90 cm, I did not fasten it)"
50e537bfb3ac,"Отличный сарафан фирмы крокид. Новый, с этикетками","Excellent crooked sarafan. New, with labels"
50f1b7c46f5d,возможно не работает не знаю,maybe not working I do not know
50feadfb8243,"Сплит-система Samsung AQ07FTBN/
 /
Акция!!! МОНТАЖ В ПОДАРОК!!! при заказе от 3-х кондиционеров!/
 /
Представительство компании ПК Холод продает кондиционеры оптом и в розницу со склада в г.Сочи. /
 /
Оптовым покупателям скидки!!!/
 /
Всем клиентам на кондиционеры предоставляется кредит и рассрочка платежа до 100000 тысяч рублей сроком до 36 месяцев!!!/
 /
Цена на кондиционер указанна розница./
 /
Для получения специальных скидок звоните в офис менеджерам!!!","Split system Samsung AQ07FTBN /\n\u00a0/\nStock!!! INSTALLATION AS A GIFT !!! when ordering from 3 air conditioners! /\n\u00a0/\nRepresentation of the company PC Kholod sells air conditioners wholesale and retail from a warehouse in Sochi. /\n\u00a0/\nWholesale buyers discounts !!! /\n\u00a0/\nAll customers for air conditioners are granted a loan and payment by installments up to 100,000 thousand rubles for a period of up to 36 months !!! /\n\u00a0/\nThe price of the air conditioner indicated retail.\n\u00a0/\nTo receive special discounts, call the office managers !!!"
51057f2f1d7c,None,None
510a4031863d,"16 квартал ТД Алеся/
/
Русалка, двигает хвостом. Можно купать. 650 руб","16th quarter of TD Alesya /\n/\nMermaid, moving his tail. You can bathe. 650 rub"
510d47581ab0,Три кнопки со звуком и огоньком.,Three buttons with sound and a light.
510f2c1da531,None,None
511021de9a16,ПРОДАЕТСЯ ОДНОКОМНАТНАЯ КВАРТИРА  ГДЕ КУХНЯ 12 КВ-М РЯДОМ 5 ДЕТСКАЯ ПАЛИКЛИНИКА .ШКОЛА 23 . В ШАГОВОЙ ДОСТУПНОСТИ БАЛАГАН. Ж-Д ВАКЗАЛ .,SINGLE-ROOM-APARTMENT FOR SALE WHERE THE KITCHEN IS 12 KV-M NEAR 5 CHILDREN'S PALICCLINIC. SCHOOL 23. IN STEP ACCESSIBY BALAGAN. Railway station.
5136cb3084f8,обычная двушка.,usual kopeck piece.
51448a24a682,None,None
51528b3d1972,"Сплит-система Pioneer 7кВт на 70м2/
 /
Акция!!! МОНТАЖ В ПОДАРОК!!! при заказе от 3-х кондиционеров!/
 /
Представительство компании ПК Холод продает кондиционеры оптом и в розницу со склада в г.Сочи. /
 /
Оптовым покупателям скидки!!!/
 /
Всем клиентам на кондиционеры предоставляется кредит и рассрочка платежа до 100000 тысяч рублей сроком до 36 месяцев!!!/
 /
Цена на кондиционер указанна розница./
 /
Для получения специальных скидок звоните в офис менеджерам!!!","Split-system Pioneer 7kW at 70m2 /\n\u00a0/\nStock!!! INSTALLATION AS A GIFT !!! when ordering from 3 air conditioners! /\n\u00a0/\nRepresentation of the company PC Kholod sells air conditioners wholesale and retail from a warehouse in Sochi. /\n\u00a0/\nWholesale buyers discounts !!! /\n\u00a0/\nAll customers for air conditioners are granted a loan and payment by installments up to 100,000 thousand rubles for a period of up to 36 months !!! /\n\u00a0/\nThe price of the air conditioner indicated retail.\n\u00a0/\nTo receive special discounts, call the office managers !!!"
51588e13cd26,Натуральный лисий мех.Б\У мало,Natural fox fur.
5163b69e1b7b,"Продаю б/у развивающий центр, производитель Fisher Price./
Размеры упаковки (коробки):	48,5х12,5х33 см/
Если ваше чадо еще не умеет ходить, то панель легко прикрепить на кроватку малыша или на коляску, чтобы тот играл в подвесные игрушки и слушал приятную музыку! Когда ребенок подрастет, то панель легко превращается в игральный столик, где малыш сам уже будет наживать на кнопочки, чтобы услышать музыку и увидеть как мигают разноцветные огоньки, а шарик-головоломка заинтересует малыша и привлечет его внимание! Игровая панель ""Растем вместе"" очень компактная и легко складывается, поэтому вы всегда сможете взять ее с собой в путешествие! Развивающая панель изготовлена из высококачественного и нетоксичного материала, который совершенно безопасен для детского здоровья!","Watch \""World Map\"" new, 2 pieces. Price for one piece. When you buy two hours at once, the cost will be 300 rubles. /\nIt is possible to send by Post of Russia."
51687fd36cfa,"Пальто Бонприкс, подойдет на размер 46, 48, подчеркивает талию, не очень теплое, на плюсовую погоду.","Coat Bonpriks, suitable for size 46, 48, emphasizes the waist, not very warm, in plus weather."
5168818c15dc,"Продам ортопедический матрас зима/лето, пружинный блок, в отличном состоянии.","Selling orthopedic mattress winter / summer, spring unit, in excellent condition."
5168f99416d6,"продам шорты джинсовые и футболку с Американского сайта, состояние отличное. Надели один раз. Качество отличное. В подарок летние шортики/
Одежда на худенькую девочку","selling jeans shorts and a T-shirt from the American site, the condition is excellent. Wear it once. The quality is excellent. As a gift summer shorts /\nClothes for a thin girl"
516ba4656fec,"Туфли для мальчика марки Timberlend, 34-й размер, одевали пару раз.","Shoes for a boy of the brand Timberlend, 34-th size, dressed a couple of times."
5194d70fb74f,Мотор-2 ул. САХАРОВА. В любом состоянии. от 20 кв\м. Ширина от 3.2 м. Вложу деньги в ремонт.,Motor-2 st. SAKHAROVA. In any condition. from 20 sq / m. Width from 3.2 m. I will put money in repair.
51a0343c0f3f,Куртка женская зима -осень новая,Women's winter jacket-autumn new
51a0520a25cf,"50 кубовый , цепной привод, новое цпг 0 км , продавец не Данил а Рашит.","50 cc, chain drive, new cpg 0 km, the seller is not Danil a Rashit."
51a14984c524,"Продаю джинсы в отличном состоянии, р-р 128, длина от пояса 80 см, шаровый шов 60 см. Амур.","I sell jeans in excellent condition, r-p 128, the length of the belt is 80 cm, the ball joint is 60 cm. Cupid."
51a577dab73c,"Капика,на теплую весну,осень.Холодное лето.Состояние хорошее.","Kapika, in the warm spring, autumn. Cold summer. The state is good."
51a7bac23bbd,"Пакет вещей/
Ветровка Sela 12-18/
Куртка Sela 18-24/
Джинсы Картерс 24(83-86)/
Штаны Орби 2г",A package of things /\nWindbreaker Sela 12-18 /\nJacket Sela 18-24 /\nJeans Carters 24 (83-86) /\nPants Orb 2g
51ac33bdde25,"Продам молодых козочек,возраст 2 месяца. Девочка и мальчик окрас белый. У девочки серёжки на шее как у мамы,девочка без рожек. Мальчик красавец с рожками. Интересующие вас вопросы по телефону.","Selling young goats, age 2 months. Girl and boy color white. At the girl earrings on a neck as at mum, the girl without horns. The boy is handsome with horns. Interested questions by phone."
51dcfdb097f7,продам на запчасти Alcatel OneTouch IDOL X 6040 и Alcatel OneTouch IDOL X 6040  mini есть ещё fly 4505 и samsung duos g355h звоните спрашивайте,sell on spare parts Alcatel OneTouch IDOL X 6040 and Alcatel OneTouch IDOL X 6040 mini is also fly 4505 and samsung duos g355h call ask
51df3b88ff3f,Продаю куртки для девочки( осень-весна),I sell jackets for girls (autumn-spring)
51e4eaec3e6f,"От застройщика! Квартира в новостройке на Окском съезде в жилом комплексе бизнес-класса «Маршал Град». Дом сдается в конце 2017 г.   /
/
Особенности:/
• собственная набережная;/
• панорамный вид на Оку, город, Молитовский мост, парк Швейцарию;/
• двух уровневая подземная парковка, эко-парковки вокруг дома;/
• концепция «замкнутый двор», закрытый от машин, шума и ветра;/
• дизайнерские холлы и места общего пользования, отделанные натуральным камнем;/
• авторская архитектура;/
• проектом предусмотрено строительство детского сада, гостиницы,  физкультурно-оздоровительного комплекса и детских игровых площадок;/
• удобные транспортные развязки (подъезды с пр. Гагарина, метромоста, Университетского проезда) и продуманная система заездов для автомобилей;/
• надежный застройщик ООО «Объекстрой» (ЖК «Зенит» и ЖК «Нагорный)./
Застройщик ООО «Объектстрой».0 No. 00010058","Apartment is an improved layout, 97 series. All rooms are isolated, c / a separate, kitchen - 9 sq.m. Windows are replaced with double-glazed windows, there is a pantry, a balcony. In the bathroom and toilet the tile, the distribution of pipes - metal plastic. Clean entrance. The developed infrastructure of the district: in the neighboring house \""Pyaterochka\ near the school, several kindergartens, a pharmacy, transport stops. Net sale, one adult owner, documents are ready."
51fcd672a974,Продаю новый очень красивый чехол  для ipnone 4 4s,Selling a new very beautiful case for iphone 4 4s
521b41f9864c,Полностью рабочий,Fully working
522ffc601c6e,Куртка демисезонная. В хорошем состоянии. Носили с 1 до 2х лет. Не затертая т.к. было 2 куртки и эту одевали на выход. Подойдет и мальчику и девочке.,The jacket is demi-season. In a good condition. Wore from 1 to 2 years. Not wiped out since. there were 2 jackets and this one was worn on the way out. Will suit both the boy and the girl.
5238d9c61218,"Ползунки, кофточки, чепчики, царапки и носочки. Можно отдельно. /
Штанишки - 50-70/
Распашонки - 50руб/
Пакет с чепчиками и рукавичками 200./
Без пятен, целое, после одного ребенка!/
Звонить с 10 до 21. Сообщения в вибер","Sliders, blouses, caps, scratches and socks. It is possible separately. /\nPanties - 50-70 /\nRaspashonki - 50\u0440\u0443\u0431 /\nPackage with caps and mittens 200./\nWithout spots, the whole, after one child! /\nCall from 10 to 21. Messages to vibers"
523c38eda82a,Боди на девочку рост 62-68. Совершенно новые. Ни разу не одевали. Все 5 шт за 450 р,Body on a girl is 62-68. Brand new. Never dressed. All 5 pcs for 450 r
523d4d728c8b,"продам куртку, состояние идеальное, качество отличное.все молнии рабочие.торг уместен","selling jacket, the condition is perfect, the quality is excellent. all the zippers are working."
5245921d1371,"Шина Веленского,размер средний,2000р.","Velensky bus, average size, 2000r."
524b98ebf210,"Продам сапоги на холодную весну. Фото 1 - натуральная кожа, натуральный мех, на молнии, фирма Котофей, размер 25. Фото 2 - сноубутсы, фирма Зебра, съёмный войлочный сапожок внутри, тепло и можно ходить по лужам, размер 26. Обе пары в хорошем состоянии. Цена за пару 150 руб. Заволга, центр.","Selling boots for the cold spring. Photo 1 - natural leather, natural fur, with a zipper, firm Kotofey, size 25. Photo 2 - snowboots, Zebra company, removable felt boots inside, warm and you can walk through puddles, size 26. Both pairs are in good condition. The price for a pair of 150 rubles. Zavolga, the center."
527530c05221,"100%хлопок. Размер примерно 98, покупали в Белоруссии.","100% cotton. The size is about 98, bought in Belarus."
5280dd0b186a,Состояние новое.Италия.,Condition new.Italy.
52a158949d45,None,None
52ae57dac76d,Хорошее состояние. Натуральная кожа,Good condition. Genuine Leather
52ba39aaa218,Цена указана за оба зеркала,The price is for both mirrors
52f1bdda1217,"Предлагаю качественное наращивание ресниц. Не самоучка, обучалась в академии красоты, имею 2 сертификата. /
В работе использую только гиппоалергенный материал премиум класса! /
Выполняю все виды наращивания, любые формы, от классики до 9D ./
✅ Выезд к клиенту/
✅ Приемлимые цены от 900₽/
✅ Снятие после другого мастера 150₽","I offer quality eyelash extensions. Not self-taught, I studied at the Academy of Beauty, I have 2 certificates. /\nIn work I use only premium class hypo-allergenic material! /\nI perform all types of build-up, any form, from classics to 9D ./\n\u2705 Departure to the client /\n\u2705 Acceptable prices from 900\u20bd /\n\u2705 Removal after another master 150\u20bd"
52fa5bbb3c24,Машина на ходу,The machine is on the move
530297638eb8,"Предлагаю услуги по созданию чертежей и 3d моделей в Solidworks  и Компас 3d . Кроме того  возможно изменение и корректировка чертежей, перевод чертежей с бумажного носителя в электронный вид (оцифровка). Разработка спецификаций на сборочные чертежи.Возможен набор текста.Цены приемлемые,договорные./
Соблюдение сроков и порядочность качество гарантирую","I offer services in creating drawings and 3d models in Solidworks and Compass 3d. In addition, it is possible to change and adjust drawings, transfer drawings from paper to electronic format (digitization). Development of specifications for assembly drawings. A set of text is possible. The prices are acceptable, contractual. /\nCompliance with deadlines and decency quality guarantee"
5312a50c9368,"Черный чехол из магазина Apple Nice Case, пользовались 2 дня, на внутренней стороне маленькое пятнышко, стоил 1200","The black case from the Apple Nice Case store was used for 2 days, on the inside was a small speck, costing 1200"
53148a6156fe,Работает идеально состояние хорошее собой коробка зарядка,Works perfectly condition good self box charging
532214c4450e,None,None
532636a74c0b,"""AUDI O009OO VIP с дистанционным управлением./
/
Световые и звуковые эффекты. Подсветка панели приборов, диодные огни фар. Амортизаторы./
Пульт управления: индивидуальный (настраивается по Bluetooh)/
Колеса: каучуковые колеса низкопрофильные /
Двери открываются. Скорость: вперед/назад - плавный ход.  /
Сидение: кожаное, пятиточечный ремень безопасности/
USB-вход, вход для MP3, SD-вход. Заводится с кнопки./
Размер собранной модели:103*64*53 см, вес: 14кг, макс. нагрузка:кг/
Аккумулятор:  6V/4A*2/
Редуктор: 2*35W.""","Rent one-room apartment in the new building of the LCD \""Sea of \u200b\u200bthe Sun\ 44 m, kitchen studio, after renovation, in the bathroom node modern tiles, PVC flooring, furniture and household appliances are new."
533acc5ad38f,Принтер в хорошем состоянии заправки не требует,The printer does not require refilling in a good condition
533dda2d4d5a,"продаю комплекты для мальчиков и девочек, в наличии множество расцветок и размеров, ткань хлопоквый трикотаж, не Китай","I sell kits for boys and girls, there are many colors and sizes, cotton wool fabrics, not China"
534798b2fa9d,"Продам новую обувь эко. Очень удобная,теплая,а главное не скользкая!!! Размеры 29,30,31,32,33,34,35!!! Вся обувь в наличии,примерка в любое время. Звоните! Обувь фабричная,не Китай,сделано на совесть!!!","Selling new shoes eco. Very comfortable, warm, and most importantly not slippery !!! Dimensions 29,30,31,32,33,34,35 !!! All shoes are in stock, fitting at any time. Call us! Shoes factory, not China, made to the conscience!"
534db0edbc26,"Квартира в новом доме с хорошим ремонтом, мебелью и бытовой техникой. Хозяйка.","Apartment in a new house with good repair, furniture and household appliances. Mistress."
536d7df35f58,"Продам умывальник белый б/у в отличном состоянии. В комплекте:/
умывальник-1шт., нога к нему-1шт., гибкая подводка-1шт., кран-1шт.","Selling white washbasin in excellent condition. In the kit: /\nwashbasin-1 pc., foot to it-1 pc., flexible podvodka-1 pc., crane-1 pc."
538de98b2b6e,"В наличии много декоративной и уходовой косметики с Италии, пишите на Вайбер, вацап вышлю фото","In the presence of a lot of decorative and cosmetics cosmetics from Italy, write to Viber, I'll send the photo"
53921e1e8f52,"Толстовка из флиса ""Demix"". В отличном состоянии.","Fleece sweatshirt \Demix\"". In great condition."""
53a70119aec8,"Фан барьеры широко используются при организации массовых мероприятий, ограждения специальной зоны для публики, для организации потока людей на открытой местности и многое другое. /
Мы предлагаем мобильные фан барьеры собственного производства, легкие и прочные металлические ограждения из стальных труб с антикоррозионной обработкой. Каждая секция мобильного барьера представляет собой раму с крюком и петлей по боковым сторонам, при соединении нескольких секций в одну линию их невозможно разъединить (не повернув одну из секций фан барьера)./
Технические характеристики в стандартном исполнении/
/
•	Размер секции: 2500х1100 мм/
•	Основа фан барьера изготавливается из стальной трубы/
•	Диаметр трубы для рамы составляет 40 мм/
•	Диаметр вертикальных труб (в базе) 16 мм/
•	Количество вертикальных труб 19 штук/
•	Покрытие: порошковая краска или оцинковка/
•	Тип соединения: боковая система замкового соединения/
•	Вес одной секции составляет 19 кг/
Дополнительные опции/
•	Возможно изготовление облегченной секции фан барьера (уменьшенный диаметр трубы и количество секций)/
•	Брендирование (размещение логотипа Вашей компании на секции ограждения)/
•	Цветовое исполнение по желанию заказчика","Fan barriers are widely used in the organization of mass events, fencing a special zone for the public, for organizing the flow of people in open areas and much more. /\nWe offer mobile fan barriers of our own production, light and strong metal fences made of steel pipes with anti-corrosion treatment. Each section of the mobile barrier is a frame with a hook and a loop on the sides, when connecting several sections in one line they can not be separated (without turning one of the sections of the fan barrier).\nTechnical specifications in standard version /\n/\n\u2022 Section size: 2500\u04451100 mm /\n\u2022 The base of the fan barrier is made of steel pipe /\n\u2022 The diameter of the pipe for the frame is 40 mm /\n\u2022 Diameter of vertical pipes (in the base) 16 mm /\n\u2022 Number of vertical pipes 19 pieces /\n\u2022 Coating: powder paint or galvanizing /\n\u2022 Connection type: lateral locking system /\n\u2022 The weight of one section is 19 kg /\nAdditional options/\n\u2022 It is possible to manufacture a light section of the fan barrier (reduced pipe diameter and number of sections) /\n\u2022 Branding (placing your company's logo on the fence section) /\n\u2022 Color execution according to customer's request"
53ba35f157a4,"Оригинал. Стоимость в магазине 3000./
Состояние как новое./
Размер М (46-48)./
Продажа либо обмен на диск для PS4.",Original. The cost in the store 3000./\nStatus as new. /\nSize M (46-48) ./\nSale or exchange to disk for PS4.
53d96a092f52,"Чел обл Варненский район пос Новопокровка ул Молодёжная 16, продам двушку, газ, свет, евро окна, 44 квадрата.","\u0427\u0435\u043b \u043e\u0431\u043b Varna district Novopokrovka \u0443\u043b \u041c\u043e\u043b\u043e\u0434\u0451\u0436\u043d\u0430\u044f 16, sell kopeck piece, gas, light, euro windows, 44 squares."
53da1a1be522,"Земельный участок, ровный, с видом на море, ИЖС, все коммуникации на участке ( кроме канализации).От остановки 300 метров./
Село с хорошо развитой инфраструктурой.         ( школа, магазины, аптека, почта, библиотека)/
Очень хорошие и доброжелательные соседи!","Plot of land, level, with a view to the sea, IZHS, all communications on the site (except sewage). From the stop 300 meters. /\nA village with a well-developed infrastructure. (school, shops, pharmacy, post office, library) /\nVery good and friendly neighbors!"
53e3b712678c,"Производства и продажа искусственного облицовочного камня и декоративной плитки под кирпич и сланец для оформления интерьеров и отделки фасадов./
/
Применяется для отделки фасадов зданий, для внутренней отделки квартир, создания интерьеров и каминных залов, облицовки печей/
/
Декоративный камень высокого качества, который характеризуется высокой морозостойкостью, теплостойкостью, является практически паронепроницаемым, благодаря чему обеспечивает хорошую теплоизоляцию помещения. Разнообразная палитра фактур, цветов и форм позволяет использовать искусственный камень для декорирования любых задумок, воплощая в жизнь самые смелые дизайнерские находки./
/
Состав:/
Высокомарочный цемент или высокопрочный скульптурный гипс, кроме того, добавляем импортные модификаторы и пластификаторы, которые увеличивают прочность состава на 30-40%, применяются при строительстве бетонных резервуаров для хранения воды, в том числе питьевой./
/
Материал окрашивается полностью в массе, используем органические красители, что позволяет цвету не тускнеть и не выцветать./
/
Технические характеристики:/
Морозостойкость— F300 циклов/
Водопоглащение— до 4 %/
Коэффициент паропроницаемости— 0,018 Мг/МчПа/
Предел прочности при изгибе, не менее 23 мПа/
/
Марка прочности М450/
/
Материал не трескается, не слоится, не поддается адгезий./
/
Искусственный декорaтивный облицовочный камень от нашей компании безупречно передает фактуру и рельеф натурального природного камня благодаря высокоточным полиуретановым формам./
Достaвка по РТ бесплатно!/
Гарантия 10 лет!","Manufacture and sale of artificial facing stone and decorative tile for brick and slate for interior design and decoration of facades.\n/\nIt is used for finishing facades of buildings, for interior finishing of apartments, creating interiors and chimney halls, facing stoves /\n/\nDecorative stone of high quality, which is characterized by high frost resistance, heat resistance, is practically vapor-proof, due to which provides good thermal insulation of the room. A diverse palette of textures, colors and shapes allows you to use an artificial stone to decorate any ideas, embodying the most daring design finds. /\n/\nComposition:/\nHigh-quality cement or high-strength sculptural gypsum, in addition, we add imported modifiers and plasticizers, which increase the strength of the composition by 30-40%, are used in the construction of concrete reservoirs for water storage, including drinking. /\n/\nThe material is painted completely in mass, using organic dyes, which allows the color not to fade and not fade.\n/\nSpecifications:/\nFrost resistance - F300 cycles /\nWater absorption - up to 4% /\nThe coefficient of vapor permeability is 0.018 Mg / Mppa /\nBending strength, not less than 23 mPa /\n/\nStrength grade M450 /\n/\nThe material does not crack, does not break, does not lend itself to adhesion. /\n/\nArtificial decorative facing stone from our company perfectly conveys the texture and relief of natural natural stone thanks to high-precision polyurethane molds.\nDelivery on RT for free! /\nWarranty 10 years!"
53ed4facb86a,Франция. 2 евро. 2017. Огюст Роден. UNC Смотрите  другие мои объявления,France. 2 euros. 2017. Auguste Rodin. UNC See my other ads
53eddd901764,"женские черные туфли на сплошной подошве, легкие, мягкие, выписанные из Алиэкспресс","women's black shoes with solid soles, light, soft, written out from Aliekspress"
53f00194d406,Продаю много лицензионных дисков на Xbox360.  Все диски в коробках в идеальном состоянии.,I sell a lot of licensed discs on the Xbox360. All discs in boxes are in perfect condition.
53fd8bca1acf,"Костюм велюровый, утеплен синтепоном. Новый, не одевали ни разу. Объемный, тёплый, на холодную весну или позднюю осень. Размер 86-92.","Velor suit, insulated with sintepon. New, did not wear once. Volumetric, warm, in cold spring or late autumn. The size is 86-92."
5402890ccfec,"220х80х60/
Шкаф слева 6000 цена за 1 шкаф (3 шт)/
Шкаф в центре 11 000 цена за 1 шкаф (2 шт)/
Шкаф с права 11 000 цена за 1 шкаф (2 шт)",220\u044580\u044560 /\nCabinet on the left 6000 price for 1 cabinet (3 pcs) /\nCabinet in the center 11 000 price per 1 cabinet (2 pcs) /\nCabinet with the right 11 000 price per 1 cabinet (2 pcs)
5415ce531437,музыкальный центр Panasonic идеальное состояние.в связи с переездом.проспект Ленина,musical center Panasonic perfect condition.in connection with the move.Prospect of Lenin
54167168ce03,"Питается насекомыми./
/
Приезжайте, смотрите, покупайте.","It feeds on insects. /\n/\nCome, see, buy."
5417cce29d3d,None,None
541c92b720f6,"Новые, в упаковке, не воспользовались.","New, in the package, did not use."
544cfede2c6f,Продам ветровку в отличном состоянии фирмы «G’n’K». Не промокает. Не продувает.,"Selling a windbreaker in excellent condition of the firm \G'n'K\"". Does not get wet. Does not blow."""
5457cdcdab70,Размер 25-26. Светлое бежевого цвета. В очень хорошем состоянии,The size is 25-26. Light beige color. In a very good condition
54594d5b91b2,Продается куртка на мальчика в хорошем состоянии,A jacket for a boy is in good condition
545bd519a2ff,"Срочно продам Газель термичку в отличном состояние,Двигатель 405 инжектор.Рассмотрю варианты обмена с моей или вашей доплатой на легковой автомобиль.На обмен цена 250000 руб Реальному покупателю реальный торг","Urgently selling gazelle termitchku in excellent condition, Engine 405 injector. I will consider the options for exchanging with my or your surcharge on a car. At the exchange price of 250000 rub to the real buyer a real bargain"
5468edc87a66,"Продаётся пуховик р-р: 48-50, цена 500 руб. И пальто р-р: 46-48, цена 500 руб.","Sale down jacket rr: 48-50, the price of 500 rubles. And coat rn: 46-48, the price of 500 rubles."
546ee76eb830,"На мальчика, носили мало, очень удобный.","At the boy, they wore little, very comfortable."
548aa36b8c11,"Сруб дома из оцилиндрованного бревна. Быстро, Качественно, Дёшево, Гарантия. Оплата по безналичному расчету. Производство в Перми. С предварительной сборкой на производстве. Любая сложность. Шести, восьми гранник.","Log house from round logs. Fast, Qualitative, Cheap, Warranty. Payment by bank transfer. Manufacture in Perm. With pre-assembly in production. Any complexity. Six, eight gables."
548e9cca77e4,"Продам квартиру в общежитие, недавно сделали ремонт, санузел, частично мебель, заходи да живи.риэлторы не звонити","Selling an apartment in a hostel, recently made repairs, a bathroom, partly furniture, come on da zhivi.ieltory not call"
54909a898fb8,"Немного приталенная туничка, размер 50-52. Классно смотрится. Б/у пару раз. Есть еще много другой одежды.","Slightly fitting tunic, size 50-52. It looks cool. Used a couple of times. There are many other clothes."
5492eead8512,"Куртка на подростка, весна","Jacket for a teenager, spring"
54ac903f1937,"Произвожу монтаж систем отопления,  систем водоснабжения и канализации, а так же монтаж теплого пола. /
Установка котлов, водонагревателей, бойлеров,фильтров, коллекторов, циркуляционных насосов, станций повышения давления, сантехники. /
Помощь в выборе оборудования и  закупке материалов./
Постоянным клиентам и застройщикам СКИДКА!","I produce installation of heating systems, water supply and sewage systems, as well as installation of a warm floor. /\nInstallation of boilers, water heaters, boilers, filters, collectors, circulation pumps, pressure stations, plumbing. /\nAssistance in choosing equipment and purchasing materials. /\nTo regular customers and developers DISCOUNT!"
54b2b7e470da,Стерилизатор. Отличное состояние,Sterilizer. Very good condition
54c7d031a948,"Совершенно новые костюмы! Дешевые, потому что кода-то ими торговала. Приезжайте, забирайте! Еще у меня есть халаты, жакеты и брюки.","Brand new suits! Cheap, because the code something they traded. Come, take it! I also have dressing gowns, jackets and trousers."
5556eacfe2c7,"брюки/
блузки/
топы/
рубашки/
джинсы/
юбки/
купальники/
платья/
/
марки: esprit, zara, mango, h and m/
все в отличном состоянии/
Продаю по символической цене, чтобы разгрузить шкаф","pants/\nblouse /\ntops /\nshirts /\njeans/\nskirts/\nswimwear /\ndresses /\n/\nbrands: esprit, zara, mango, h and m /\nall in excellent condition /\nI sell at a symbolic price to relieve the cabinet"
5564a6440e67,None,None
5571ac17565b,"Продам куртку кожзам, косуха, отличное состояние","Selling jacket leatherette, crook, excellent condition"
5573980d8ed2,Сапоги в хорошем состоянии бу один сезон. Иск.мех верх велюр.,Boots in good condition will be one season. Isk.meh top velor.
5574677d492c,None,None
55783140c5f8,"Продам направляющие для ящика с автодоводчиком, длина 350 мм, ширина 45 мм, толщина 13 мм. Новые. Цена указана за комплект из 2 шт. В наличии 2 комплекта.","Selling guides for a box with an auto-guide, length 350 mm, width 45 mm, thickness 13 mm. New ones. The price is indicated for a set of 2 pcs. There are 2 sets."
55b532590bd2,"Платье новое размеры42,44,46,48","Dress the new sizes42,44,46,48"
55bfeb22123e,"1комната+кухня,3 сотки ровная,остальное овраг","1 room + kitchen, 3 sq.m flat, the rest of the ravine"
55c036f7ebc8,"санки коляска ника 7, в отличном состоянии. Б/у одна зима. /
Очень удобные в пользовании,в любой момент можно переключится на колеса и обратно, поэтому высокая проходимость и на улице, и в магазин можно зайти без проблем.","sleigh stroller 7, in excellent condition. Used one winter. /\nVery user-friendly, at any time, you can switch to the wheels and back, so high traffic on the street, and the store can go without any problems."
55c115559109,"Абсолютно новые, 240 шт","Absolutely new, 240 pcs."
55c65d968249,продаю бензо бур хитачи в комплекте шнек и бур,I sell benzo drill hitachi in the set of auger and drill
55d8bb621aac,"две изолированные комнаты, мебель, бытовая техника, посуда, с/у кафель, пластиковые окна, балкон остеклён. Спальные места: два дивана, двуспальная кровать, кресло-кровать. Низкие коммунальные услуги. Под окнами детский садик, рядом две школы, парк и Цирк, пульт от ворот. Сами жили, собственник.","two isolated rooms, furniture, appliances, crockery, c / a tile, plastic windows, balcony glazed. Berths: two sofas, a double bed, a chair-bed. Low utilities. Under the windows there is a kindergarten, next to two schools, a park and a circus, a remote control from the gate. Themselves lived, the owner."
55d91d153544,"Осталось два листа размером 87,5см х 122,5см  и 87.5см х 174см. Продам за 200 и 300р. соответственно. Все разом за 400р. Доставлю по городу до подъезда, не в рабочее время - 200р.","There remain two sheets of 87.5cm x 122.5cm and 87.5cm x 174cm. I sell for 200 and 300 rubles. respectively. All at once for 400r. I will deliver around the city to the entrance, not during working hours - 200r."
55deded50b60,"Продам демисезонные сапожки. В идеальном состоянии. Кожа натуральная. Очень яркие и красивые. Фирма ""Лева"" покупала в Манро размер 20","Sell \u200b\u200bdemi-season boots. In perfect condition. A natural skin. Very bright and beautiful. Firm \Leva\"" bought in Munro size 20"""
55e7ab61cf98,Продам сумку-переноску для малыша в отличном состоянии.Район Аура,Selling a carry-over bag for a baby in excellent condition. Area Aura
55f98dc4bf0a,"Куртка бомбер синяя. На рукавах замочки. Коротенькая на размер 42-44. Одета 1раз, оказалась большевата","The jacket is blue. On the sleeves sleeves. Short for size 42-44. Dressed once, it turned out to be a bigger one"
56180e5e539a,Одна вещь 50руб,One Thing 50\u0440\u0443\u0431
561ac9ea8472,"Задний фонарь LED. Очень яркий, заряжается через USB.","LED Tail Lights. Very bright, charging via USB."
